"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","text.1","score","very.pos","very.neg","text.2","anger","disgust","fear","joy","sadness","surprise","emotion","pos","neg","pos_neg","polarity"
"870","@askusbank And it has happened on more than one occasion that it gets flagged after shopping at Fred Meyer…",FALSE,0,"polevaultpower","2015-01-22 23:30:28",FALSE,558406223670689792,558406371603804160,18649326,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","polevaultpower",0,FALSE,FALSE,NA,NA,"@askusbank And it has happened on more than one occasion that it gets flagged after shopping at Fred Meyer…",0,0,0," and it has happened on more than one occasion that it gets flagged after shopping at fred meyer…","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"871","@askusbank My Fred Meyer credit card gets flagged for fraud several times a year. I NEVER get a call about it, only learn when declined :(",FALSE,0,"AskUSBank","2015-01-22 23:29:53",FALSE,558399018255265792,558406223670689792,147678915,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","polevaultpower",0,FALSE,FALSE,NA,NA,"@askusbank My Fred Meyer credit card gets flagged for fraud several times a year. I NEVER get a call about it, only learn when declined :(",-1,0,0," my fred meyer credit card gets flagged for fraud several times a year i never get a call about it only learn when declined ","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","7.34083555412328","7.34083555412327","sadness","1.03127774142571","26.8423564950873","0.0384197915564697","negative"
"6635","@askusbank My Fred Meyer credit card gets flagged for fraud several times a year. I NEVER get a call about it, only learn when declined :(",FALSE,0,"AskUSBank","2015-01-23 04:29:53",FALSE,558399018255265792,558406223670689792,147678915,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","polevaultpower",0,FALSE,FALSE,NA,NA,"@askusbank My Fred Meyer credit card gets flagged for fraud several times a year. I NEVER get a call about it, only learn when declined :(",-1,0,0," my fred meyer credit card gets flagged for fraud several times a year i never get a call about it only learn when declined ","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","7.34083555412328","7.34083555412327","sadness","1.03127774142571","26.8423564950873","0.0384197915564697","negative"
"15996","@askusbank awesome, thanks so much!",FALSE,0,"AskUSBank","2015-01-17 01:13:56",FALSE,555805032554446848,555805098501500928,147678915,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","dennismonsewicz",0,FALSE,FALSE,NA,NA,"@askusbank awesome, thanks so much!",1,0,0," awesome thanks so much","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","9.47547003995745","0.445453222112551","21.2715265477714","positive"
"15998",".@usbank are you all having issues with people logging into the mortgage account portal? @askusbank",FALSE,0,NA,"2015-01-17 00:42:57",FALSE,NA,555797300866727936,NA,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","dennismonsewicz",0,FALSE,FALSE,NA,NA,".@usbank are you all having issues with people logging into the mortgage account portal? @askusbank",-1,0,0," are you all having issues with people logging into the mortgage account portal ","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","8.78232285939751","0.117426534862834","negative"
"22421","@KJApplegate Oops, wrong account. @askusbank is following now, feel free to send your info. Thanks! ^kb",FALSE,0,"KJApplegate","2015-01-10 04:03:58",FALSE,552232158316621824,552254210604290048,565952038,"<a href=""http://www.spredfast.com"" rel=""nofollow"">Spredfast app</a>","AskUSBank",0,FALSE,FALSE,NA,NA,"@KJApplegate Oops, wrong account. @askusbank is following now, feel free to send your info. Thanks! ^kb",0,0,0," oops wrong account  is following now feel free to send your info thanks kb","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","16.5333679773693","17.1191924966825","0.965779663998364","negative"
